repository,documents,publications,creation,presentation,tableurs,images,videos_audio,codes_scripts,others
S_all,0.87,4.16,1.22,0.28,0.53,37.93,43.09,0.06,11.86
000_Modeles,5.44,17.9,0.0,71.68,1.85,1.07,0.0,0.0,2.06
00Directives,3.28,91.31,0.0,5.13,0.27,0.0,0.0,0.0,0.01
01_Archivage,0.75,65.0,0.0,0.17,18.79,7.27,0.0,6.05,1.97
02_Histoire,0.19,9.22,0.0,0.06,0.02,90.03,0.0,0.0,0.48
03General,1.02,10.32,2.8,0.7,0.07,63.01,17.99,0.05,4.05
04Admin,6.44,63.33,1.04,0.5,11.57,11.83,4.7,0.0,0.57
Batiments,0.13,9.99,4.45,0.31,0.06,9.95,66.13,0.0,8.98
Bibliotheque,0.74,84.92,1.49,0.25,0.18,10.94,0.0,0.0,1.49
CarreVert,43.15,25.34,12.59,1.72,0.57,3.66,0.0,0.0,12.98
Collections,3.76,17.12,0.14,0.41,7.96,58.19,5.61,0.31,6.51
Communication,0.37,2.14,5.16,0.21,0.03,18.5,28.34,0.0,45.24
Direction,3.28,30.06,2.01,1.95,5.9,34.36,13.89,0.0,8.56
Evenements,0.16,1.58,0.3,0.13,0.0,16.91,77.46,0.0,3.46
Expositions,0.56,2.36,0.49,0.12,0.23,39.88,48.83,0.0,7.52
Finances,1.84,85.68,0.05,0.03,8.09,0.38,0.02,0.04,3.87
Informatique,0.97,3.97,1.56,0.42,2.2,24.26,41.15,11.57,13.91
Museographie,0.22,21.61,6.97,0.37,0.17,59.38,1.11,7.92,2.24
Publications,0.95,46.87,1.52,0.1,0.13,41.87,0.0,0.0,8.55
Publics,2.44,4.72,1.25,0.98,0.28,35.94,43.02,0.05,11.33
Securite,1.8,30.41,0.06,22.7,5.25,6.08,32.37,0.0,1.32
SecuSpecif,2.52,6.3,0.19,10.92,2.68,35.45,40.39,0.0,1.54
Services,2.14,10.18,6.44,0.14,0.58,39.42,36.59,0.0,4.52
SIAriana,0.34,4.84,0.0,0.01,24.55,58.51,0.0,0.0,11.74
