repository,Documents,Publications,Création,Présentation,Tableurs,Images,Vidéos-Audios,Codes,Autres
BMU,14.67,18.52,3.42,0.5,10.15,32.31,2.21,10.18,8.04
Dir. DCTN,26.62,31.52,0.73,1.36,9.19,25.1,1.0,1.08,3.4
SEC,18.53,28.18,2.47,0.19,6.45,29.69,0.15,1.79,12.54
Ariana,11.23,22.55,5.85,0.23,3.34,44.51,5.36,3.07,3.86
BGE,2.81,4.18,0.11,0.08,1.16,14.85,0.14,73.64,3.02
FMAC,23.84,34.75,1.09,0.15,3.1,31.33,0.35,1.26,4.14
MAH,13.81,17.28,1.1,0.33,3.4,55.46,0.57,3.93,4.13
MEG,7.68,13.38,5.65,0.24,1.85,37.79,14.64,2.11,16.66
CJB,4.1,3.63,0.45,0.08,2.28,27.82,0.27,4.62,56.76
MHN,7.43,9.7,2.42,0.25,2.45,43.37,0.63,8.5,25.26
